"name","wins","class","cars","years"
"Jeff Kiesel","11","e_modified","[3-Rotor Sprite, KFR Turbo Sprite, Kiesel Sprite]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
"John Thomas","11","e_prepared","[Honda Civic]","[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]"
"Kim Bollinger","9","d_prepared_ladies","[Austin-Healey Sprite]","[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1998, 1999]"
"Susan Delzell","9","c_prepared_ladies","[Ford Mustang]","[1992, 1996, 1997, 1999, 2000, 2001, 2002, 2003, 2004]"
"Mike Maier","9","c_prepared","[Ford Mustang, Shelby GT350]","[2004, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016]"
"Suzanne Segal","8","k_modified_ladies","[Birel CR32 Motorsport, Birel CR32SP, Birel-Honda, CRG Heron, Tony Kart-Honda, Zarnardi KZ1-Honda]","[2004, 2005, 2006, 2007, 2008, 2010, 2012, 2013]"
"Fred Zust","8","x_prepared","[Lotus Elise]","[2008, 2009, 2010, 2011, 2013, 2014, 2015, 2017]"
"Paul Russell","8","k_modified","[CRG Heron-Honda, Tony Kart-Honda]","[2004, 2009, 2010, 2011, 2012, 2013, 2014, 2015]"
"Charlotte King","8","e_modified_ladies","[Austin-Healey Sprite, Sprite Mazda]","[1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988]"
"Karen Babb","8","a_street_prepared_ladies","[Lotus Elan, Mazda RX-7]","[1983, 1986, 1987, 1988, 1989, 1990, 1991, 1992]"
"Shelly Monfort","7","super_street_r_ladies","[Chevrolet Corvette, Chevrolet Corvette Z06, Lotus Elise]","[2009, 2010, 2011, 2012, 2013, 2015, 2016]"
"Michelle Quinn","7","f_modified_ladies","[KBS Mk7]","[2010, 2011, 2012, 2014, 2015, 2016, 2017]"
"Joyce Looman","7","c_modified_ladies","[Autodynamics FV, Dulon MP21, Puma Formula Vee]","[1979, 1990, 1991, 1992, 1993, 1994, 1995]"
"Pati Park","7","b_prepared_ladies","[Chevrolet Corvette]","[1982, 1983, 1987, 1988, 1989, 1991, 1992]"
"Joyce Looman","7","d_modified_ladies","[Autodynamics FV, Formula Vee1600]","[1981, 1982, 1983, 1984, 1985, 1986, 1989]"
"George Bowland","7","a_modified","[BBR Shark, BBR Special, Legrand SuperVee]","[1988, 1993, 1994, 1995, 2003, 2005, 2007]"
"Chris O’Donnell","7","d_modified","[Lotus Elan]","[1989, 1990, 1991, 1992, 1993, 1995, 1996]"
"Gene Hanchett","7","c_prepared","[Chevrolet Camaro Z-28]","[1974, 1975, 1976, 1977, 1978, 1979, 1982]"
"Karen Babb","7","d_modified_ladies","[Lotus Elan]","[1999, 2000, 2001, 2002, 2003, 2004, 2005]"
"Vicki Flier","7","b_modified_ladies","[Lola T-460, Ralt RT-4]","[1989, 1990, 1991, 1992, 1993, 1994, 1996]"
"Betsy Bryan-Tinsley","7","e_prepared_ladies","[Honda Civic]","[1993, 1994, 1995, 1996, 1998, 2000, 2001]"
"Steve Tamandli","7","e_modified","[Austin-Healey Sprite, MRC Sprite, Pontiac Fiero]","[1985, 1988, 1992, 1993, 1995, 1996, 1998]"
"Dan Wasdahl","6","a_modified","[BBR/Phantom DVS-1, Special AM]","[2008, 2009, 2010, 2012, 2013, 2014]"
"Katie Elder","6","street_touring_compact_ladies","[Honda Civic Si]","[2003, 2004, 2005, 2006, 2007, 2008]"
"Lisa Krueger","6","f_street_prepared_ladies","[Volkswagen Rabbit]","[2000, 2001, 2004, 2005, 2006, 2007]"
"Randy Herrick","6","d_prepared","[Austin-Healey Sprite, Fiat X1/9]","[1986, 1987, 1989, 1990, 1995, 1996]"
"Kevin Wenzel","6","f_street_prepared","[BMW 2002, Volkswagen Scirocco]","[2000, 2005, 2006, 2008, 2011, 2013]"
"Ginette Jordan","6","d_street_prepared_ladies","[Honda CRX]","[1985, 1986, 1987, 1988, 1996, 1997]"
"Sandy Cole","6","c_modified_ladies","[Silver Fox]","[1981, 1982, 1983, 1984, 1985, 1986]"
"Linda Smiley","6","c_modified_ladies","[Tiga FF, Van Diemen, Van Diemen FF]","[1999, 2002, 2003, 2004, 2005, 2007]"
"Susan Hagaman","6","a_stock_ladies","[Porsche 911, Porsche 911T, Porsche Carrera]","[1986, 1987, 1988, 1989, 1990, 1991]"
"Shawn Kiesel","6","e_modified_ladies","[KFR Turbo Sprite, Kiesel Sprite, Kiesel Sprite 2015 Shawn Kiesel Poway, CA Kiesel Sprite]","[2011, 2012, 2013, 2014, 2016, 2017]"
"Mark Madarash Red","6","e_street_prepared","[Pontiac Trans-Am]","[2007, 2008, 2009, 2010, 2011, 2012]"
"John Thomas","6","f_prepared","[Datsun 240Z]","[1991, 2006, 2007, 2008, 2009, 2010]"
"Mary Wentzel","6","b_street_prepared_ladies","[Chevrolet Corvette]","[1991, 1992, 1993, 1994, 1995, 1996]"
"Jeff Cashmore","6","d_modified","[Lotus 7-Honda, Sprinto YC-3]","[2008, 2009, 2010, 2012, 2013, 2015]"
"Karen Babb","5","a_prepared_ladies","[Lotus Elan]","[1994, 1995, 1996, 1997, 1998]"
"Buddie Jasman","5","c_prepared","[Ford Mustang]","[1990, 1991, 1995, 1996, 2002]"
"Wendi Allen","5","g_stock_ladies","[Honda Civic Si, MINI Cooper S, Mitsubishi Eclipse]","[1998, 2004, 2006, 2007, 2012]"
"Tom Bootz","5","b_modified","[Legrand Mk25]","[1993, 1994, 1995, 2001, 2002]"
"Christina Libecco","5","f_modified_ladies","[KBS Mk7, Zink Z-19]","[2001, 2002, 2003, 2005, 2007]"
"Christopher Dorsey","5","e_prepared","[Honda CRX, Toyota Corolla GTS]","[2004, 2011, 2012, 2013, 2014]"
"Bill Martin","5","a_prepared","[Lotus Europa TC]","[1989, 1991, 1993, 1994, 1995]"
"Sam Scharnberg","5","a_modified_ladies","[Brabham BT35, Ralt RT]","[1984, 1985, 1986, 1987, 1997]"
"Dan Cole","5","c_modified","[Silver Fox]","[1981, 1982, 1983, 1984, 1986]"
"Elliott Harvey","5","c_street_prepared","[Datsun SRL-311, Datsun SRL311]","[1987, 1988, 1991, 1993, 1996]"
"Gary Milligan","5","a_modified","[Canada Rapid Log Phantom, Canada Vancouver Special, Phantom Extreme R20, Phantom Special]","[1996, 1998, 2000, 2002, 2011]"
"Bartek Borowski","5","e_stock","[Mazda Miata]","[2010, 2011, 2012, 2013, 2014]"
"Kiersten Scharnberg-Koch","5","b_modified_ladies","[Ralt RT-4, Ralt RT-5]","[2003, 2004, 2005, 2006, 2007]"
"Larry Park","5","b_prepared","[Chevrolet Corvette]","[1979, 1988, 1989, 1991, 1992]"
"Joe Tharpe","5","super_street_prepared","[Chevrolet Corvette, Chevrolet Corvette Z06]","[2012, 2013, 2015, 2016, 2017]"
"Jenny Rogers","5","a_prepared_ladies","[Lotus Europa]","[1988, 1989, 1990, 1991, 1992]"
"Mark Huffman","5","d_modified","[Lotus Elan]","[2007, 2011, 2014, 2016, 2017]"
"Debbie Pruett","5","e_modified_ladies","[Lotus 7, Lotus Super 7]","[2000, 2001, 2002, 2003, 2005]"
