"name","wins","years","classes","cars"
"Karen Babb","20","[1983, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005]","[a_prepared_ladies, a_street_prepared_ladies, d_modified_ladies]","[Lotus Elan, Mazda RX-7]"
"John Thomas","17","[1991, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2006, 2007, 2008, 2009, 2010]","[e_prepared, f_prepared]","[Datsun 240Z, Honda Civic]"
"Joyce Looman","15","[1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1989, 1990, 1991, 1992, 1993, 1994, 1995]","[b_modified_ladies, c_modified_ladies, d_modified_ladies]","[Autodynamics, Autodynamics FV, Dulon MP21, Formula Vee1600, Puma Formula Vee]"
"Jodi Fordahl","13","[1989, 1990, 1999, 2000, 2001, 2002, 2005, 2006, 2009, 2010, 2011, 2012, 2015]","[a_modified_ladies, a_prepared_ladies, a_street_prepared_ladies, b_street_prepared_ladies, c_modified_ladies, c_street_prepared_ladies, e_stock_ladies, f_prepared_ladies]","[LeGrand Mk18, Legrand MK18, Mazda Miata, MazdaSpeed Miata, Nissan GT-R, Porsche 911 3.8RSR, Porsche 914, Porsche 914/6, Porsche 944]"
"Patty Tunnell","13","[1990, 1992, 1993, 1996, 1998, 2000, 2001, 2002, 2003, 2004, 2006, 2007, 2009]","[a_stock_ladies, b_street_prepared_ladies, c_street_prepared_ladies, d_stock_ladies, d_street_prepared_ladies, e_modified_ladies, e_stock_ladies, e_street_prepared_ladies, street_modified_ladies, x_prepared_ladies]","[BMW 318, BMW 330Ci, BMW 330ci, BMW M3, BMW M3 LTW, Volkswagen Jetta]"
"John Ames","12","[1988, 1991, 1994, 1995, 1996, 1997, 1998, 2001, 2003, 2004, 2005, 2006]","[a_stock, d_modified, e_street_prepared, f_stock, super_street_r]","[Chevrolet Camaro, Chevrolet Corvette, Ford Mustang, Ford Mustang LX, Lotus Europa, Mazda RX-7, Mazda RX-7 Turbo]"
"Jeff Kiesel","12","[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]","[b_prepared, e_modified]","[3-Rotor Sprite, KFR Turbo Sprite, Kiesel Sprite, Mazda RX-7]"
"Katie Elder","12","[1997, 1998, 1999, 2000, 2001, 2003, 2004, 2005, 2006, 2007, 2008, 2010]","[b_stock_ladies, d_stock_ladies, g_stock_ladies, street_touring_compact_ladies]","[Acura Integra Type R, Honda Civic Si, Mazda Miata]"
"Mark Daddio","12","[1992, 1993, 1995, 1998, 1999, 2000, 2001, 2003, 2007, 2011, 2014, 2016]","[a_stock, a_street, c_modified, d_stock, d_street_prepared, f_stock, street_modified]","[Camaro, Chevrolet Camaro, Chevrolet Corvette, Chevrolet Corvette Z06, Chevrolet IROC-Z, Dodge Neon, Ford Mustang GT, Mazda RX-7 Turbo, Mitsubishi Evolution RS, Reynard FF]"
"Tommy Saunders","12","[1983, 1984, 1986, 1990, 1992, 1995, 1998, 2000, 2003, 2004, 2006, 2008]","[a_stock, b_modified, b_street_prepared, c_modified]","[Chevrolet Corvette, Dragon SR1, Legrand Dragon, Lotus Elan, Swift DB-1, Van Dieman RF88]"
"Ginette Jordan","11","[1985, 1986, 1987, 1988, 1991, 1992, 1996, 1997, 2008, 2010, 2015]","[c_street_prepared_ladies, d_street_prepared_ladies, f_street_prepared_ladies, street_modified_fwd_ladies]","[Honda CRX, Honda Civic]"
"Kim Bollinger","11","[1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2004]","[d_modified_ladies, d_prepared_ladies, e_modified_ladies]","[Austin-Healey Sprite, Pontiac Fiero]"
"Vicki Flier","11","[1985, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996]","[a_prepared_ladies, b_modified_ladies, d_modified_ladies]","[Lola T-460, Lotus 7, Lotus Europa, Ralt RT-4]"
"Jeff Cashmore","11","[1999, 2000, 2003, 2006, 2008, 2009, 2010, 2012, 2013, 2015, 2017]","[a_stock, d_modified, e_stock, f_street, h_stock]","[BMW M3, Chevrolet Corvette, Lotus 7-Honda, Sprinto YC-3, Toyota Celica, Toyota Celica ST, Toyota MR2]"
"Tom Bootz","10","[1981, 1982, 1983, 1985, 1989, 1993, 1994, 1995, 2001, 2002]","[b_modified, c_modified, e_prepared]","[Datsun 1200, LeGrand Mk25, Legrand Mk25]"
"Charlotte King","10","[1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988]","[d_modified_ladies, e_modified_ladies]","[Austin-Healey Sprite, Sprite Mazda, Tui Super Vee]"
"Mary Rice","10","[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1989, 1990]","[a_prepared_ladies, b_stock_ladies, c_prepared_ladies, c_stock_ladies, f_stock_ladies]","[Chevrolet Camaro Z-28, Chevrolet IROC, Chevrolet IROC-Z, Datsun 240Z, Dodge GLH Turbo, Mazda RX-7, Shelby Cobra, Shelby GT350]"
"Tom Ellam","9","[1997, 1998, 2001, 2003, 2006, 2007, 2010, 2016, 2017]","[b_modified, c_street_prepared, d_street_prepared, e_prepared]","[Maxda RX-3, Mazda RX-3, Omnifab Cheetah]"
"Tom Berry","9","[1995, 1996, 2003, 2007, 2008, 2009, 2015, 2016, 2017]","[a_street_prepared, b_street_prepared, d_street_prepared]","[Chevrolet Corvette, Mazda RX-3, Mitsubishi Evolution]"
"Susan Anderson","9","[1979, 1980, 1984, 1985, 1987, 1990, 1996, 1998, 2006]","[a_modified_ladies, b_modified_ladies, d_modified_ladies, d_prepared_ladies]","[Alfa Romeo Guilia Veloce, Brabham BT21, Lotus 7, Lotus Super 7]"
"Chris O’Donnell","9","[1985, 1986, 1989, 1990, 1991, 1992, 1993, 1995, 1996]","[a_prepared, d_modified]","[Lotus Elan]"
"Renee Eady","9","[1985, 1988, 1990, 1991, 1992, 1993, 1994, 1995, 1996]","[c_stock_ladies, d_stock_ladies, e_stock_ladies]","[Dodge Neon, Honda CRX Si, Honda Civic Si, Mazda Miata, Mazda RX-7, Mazda RX-7 Turbo]"
"Susan Hagaman","9","[1985, 1986, 1987, 1988, 1989, 1990, 1991, 1993, 1995]","[a_prepared_ladies, a_stock_ladies, a_street_prepared_ladies, e_modified_ladies]","[Lotus Europa, Porsche 911, Porsche 911T, Porsche 914, Porsche Carrera]"
